ARTISTA,ARTISTB
Rend Collective Experiment,Rend Collective
Randy Rogers ,Randy Rogers Band
Ryan Montbleau Band,Ryan Montbleau 
Nick Curly,Nick Curly (official)
Nick Cave & The Bad Seeds,Nick Cave
Netsky (live),Netsky 
Napalm Death,Napalm Death Uk
Mike Stern Band,Mike Stern
Michael Franti & Spearhead,Michael Franti
Melvin Seals and JGB,Melvin Seals
Lukas Nelson & Promise of the Real,Lukas Nelson
Lee Fields,Lee Fields & The Expressions
"Kurt Elling, voice",Kurt Elling
George Thorogood,George Thorogood & The Destroyers
G. Love & Special Sauce,G. Love
Fitz,Fitz & The Tantrums
UB40,"UB40 Featuring Ali, Astro, And Mickey"
Tiger & Woods,Tiger and Woods
Sunnery James,Sunnery James & Ryan Marciano
